time,F1,DF,angle
9660,100,-50,-14.05
9720,100,-45,-12.76
9780,100,-40,-11.02
9840,100,-35,-9.55
9900,100,-30,-7.75
9960,100,-25,-6.89
10020,100,-20,-5.19
10080,100,-15,-3.5
10140,100,-10,-2.64
10200,100,-5,-1.42
10260,100,0,0.09
10320,100,5,0.96
10380,100,10,2
10440,100,15,2.91
10500,100,20,4.34
10560,100,25,4.97
10620,100,30,5.74
10680,100,35,7.11
10740,100,40,7.35
10800,100,45,8.79
10860,100,50,9.63
10920,150,-50,-9.56
10980,150,-45,-8.57
11040,150,-40,-7.68
11100,150,-35,-6.78
11160,150,-30,-5.03
11220,150,-25,-4.13
11280,150,-20,-3.41
11340,150,-15,-2.2
11400,150,-10,-1.26
11460,150,-5,-0.8
11520,150,0,0.43
11580,150,5,0.93
11640,150,10,2.21
11700,150,15,2.59
11760,150,20,3.25
11820,150,25,4.55
11880,150,30,4.82
11940,150,35,5.01
12000,150,40,6.13
12060,150,45,6.66
12120,150,50,7.2
12180,200,-50,-6.76
12240,200,-45,-5.89
12300,200,-40,-5.44
12360,200,-35,-4.28
12420,200,-30,-3.86
12480,200,-25,-3.17
12540,200,-20,-2.36
12600,200,-15,-1.7
12660,200,-10,-1.02
12720,200,-5,-0.46
12780,200,0,0.45
12840,200,5,0.61
12900,200,10,1.43
12960,200,15,1.83
13020,200,20,2.49
13080,200,25,3.44
13140,200,30,3.65
13200,200,35,3.92
13260,200,40,4.46
13320,200,45,4.87
13380,200,50,5.92
13440,250,-50,-5.72
13500,250,-45,-4.76
13560,250,-40,-4.5
13620,250,-35,-3.96
13680,250,-30,-3.42
13740,250,-25,-3.03
13800,250,-20,-2.14
13860,250,-15,-1.57
13920,250,-10,-1.36
13980,250,-5,-0.59
14040,250,0,-0.28
14100,250,5,0.65
14160,250,10,0.83
14220,250,15,1.15
14280,250,20,1.48
14340,250,25,2.04
14400,250,30,2.87
14460,250,35,3.33
14520,250,40,3.89
14580,250,45,4.31
14640,250,50,4.55
14700,300,-50,-4.82
14760,300,-45,-4.08
14820,300,-40,-3.94
14880,300,-35,-3.33
14940,300,-30,-3.02
15000,300,-25,-2.36
15060,300,-20,-2.06
15120,300,-15,-1.77
15180,300,-10,-0.52
15240,300,-5,-0.68
15300,300,0,0.02
15360,300,5,0.18
15420,300,10,0.61
15480,300,15,0.7
15540,300,20,1.43
15600,300,25,2.46
15660,300,30,2.53
15720,300,35,2.52
15780,300,40,3.41
15840,300,45,4.08
15900,300,50,3.86
15960,350,-50,-4.22
16020,350,-45,-4.01
16080,350,-40,-3.06
16140,350,-35,-2.66
16200,350,-30,-2.45
16260,350,-25,-1.92
16320,350,-20,-1.32
16380,350,-15,-0.9
16440,350,-10,-1.28
16500,350,-5,-0.33
16560,350,0,0.2
16620,350,5,0.57
16680,350,10,1.26
16740,350,15,1.31
16800,350,15,0.98
16860,350,20,1.54
16920,350,25,1.91
16980,350,30,2.39
17040,350,35,2.75
17100,350,40,3.33
17160,350,45,3.32
17220,350,50,3.88
17280,400,-50,-3.28
17340,400,-45,-3.17
17400,400,-40,-2.93
17460,400,-35,-2.27
17520,400,-30,-2.04
17580,400,-25,-1.51
17640,400,-20,-1.16
17700,400,-15,-0.94
17760,400,-10,-0.47
17820,400,-5,-0.21
17880,400,0,0.14
17940,400,5,0.49
18000,400,10,0.96
18060,400,15,0.94
18120,400,20,1.28
18180,400,25,2.23
18240,400,30,2.06
18300,400,35,2.44
18360,400,40,2.28
18420,400,45,3.02
18480,400,50,3.33
18540,450,-50,-3.18
18600,450,-45,-3.1
18660,450,-40,-2.19
18720,450,-35,-1.77
18780,450,-30,-2.08
18840,450,-25,-1.57
18900,450,-20,-1.18
18960,450,-15,-1.15
19020,450,-10,-0.6
19080,450,-5,-0.52
19140,450,0,0.06
19200,450,5,0.55
19260,450,10,0.38
19320,450,15,0.56
19380,450,20,1.2
19440,450,25,1.28
19500,450,30,1.85
19560,450,35,1.94
19620,450,40,2.17
19680,450,45,2.17
19740,450,50,2.49
19800,500,-50,-3.5
19860,500,-45,-2.9
19920,500,-40,-2.24
19980,500,-35,-2.4
20040,500,-30,-1.79
20100,500,-25,-1.73
20160,500,-20,-1.26
20220,500,-15,-0.79
20280,500,-10,-0.54
20340,500,-5,-0.49
20400,500,0,-0.04
20460,500,5,-0.27
20520,500,10,0.2
20580,500,15,0.58
20640,500,20,1.18
20700,500,25,1.13
20760,500,30,1.5
20820,500,35,1.92
20880,500,35,1.64
20940,500,40,2.04
21000,500,45,2.44
21060,500,50,2.28
# Name: Raffaelli Tommaso ID: 234813
